 ,X,Y,Value
197,9159,524,255
198,9159,525,255
199,9159,526,255
200,9159,527,255
201,9159,528,255
202,9159,529,255
203,9159,530,255
204,9159,531,255
205,9159,532,255
206,9159,533,255
207,9159,534,255
208,9159,535,255
209,9159,536,255
210,9159,537,255
211,9159,538,255
212,9159,539,255
213,9159,540,255
214,9159,541,255
215,9159,542,255
216,9159,543,255
217,9159,544,255
218,9159,545,255
219,9159,546,255
220,9159,547,255
221,9159,548,255
222,9159,549,255
223,9159,550,255
224,9159,551,255
225,9159,552,255
226,9159,553,255
227,9159,554,255
228,9159,555,255
229,9159,556,255
230,9159,557,255
231,9159,558,255
232,9159,559,255
233,9159,560,255
234,9159,561,255
235,9159,562,255
236,9159,563,255
237,9159,564,255
238,9159,565,255
239,9159,566,255
240,9159,567,255
241,9159,568,255
242,9159,569,255
243,9159,570,255
244,9159,571,255
245,9159,572,255
246,9159,573,255
247,9159,574,255
248,9159,575,255
249,9159,576,255
250,9159,577,255
251,9159,578,255
252,9159,579,255
253,9159,580,255
254,9159,581,255
255,9159,582,255
256,9159,583,255
257,9159,584,255
258,9159,585,255
259,9159,586,255
260,9159,587,255
261,9159,588,255
262,9159,589,255
263,9159,590,255
264,9159,591,255
265,9159,592,255
266,9159,593,255
267,9159,594,255
268,9159,595,255
269,9159,596,255
270,9159,597,255
271,9159,598,255
272,9159,599,255
273,9159,600,255
274,9159,601,255
275,9159,602,255
276,9159,603,255
277,9159,604,255
278,9159,605,255
279,9159,606,255
280,9159,607,255
281,9159,608,255
282,9159,609,255
283,9159,610,255
284,9159,611,255
285,9159,612,255
286,9159,613,255
287,9159,614,255
288,9159,615,255
289,9159,616,255
290,9159,617,255
291,9159,618,255
292,9159,619,255
293,9159,620,255
294,9159,621,255
295,9159,622,255
296,9159,623,255
297,9159,624,255
298,9159,625,255
299,9159,626,255
300,9159,627,255
301,9159,628,255
302,9159,629,255
303,9159,630,255
304,9159,631,255
305,9159,632,255
306,9159,633,255
307,9159,634,255
308,9159,635,255
309,9159,636,255
310,9159,637,255
311,9159,638,255
312,9159,639,255
313,9159,640,255
314,9159,641,255
315,9159,642,255
316,9159,643,255
317,9159,644,255
318,9159,645,255
319,9159,646,255
320,9159,647,255
321,9159,648,255
322,9159,649,255
323,9159,650,255
324,9159,651,255
325,9159,652,255
326,9159,653,255
327,9159,654,255
328,9159,655,255
329,9159,656,255
330,9159,657,255
331,9159,658,255
332,9159,659,255
333,9159,660,255
334,9159,661,255
335,9159,662,255
336,9159,663,255
337,9159,664,255
338,9159,665,255
339,9159,666,255
340,9159,667,255
341,9159,668,255
342,9159,669,255
343,9159,670,255
344,9159,671,255
345,9159,672,255
346,9159,673,255
347,9159,674,255
348,9159,675,255
349,9159,676,255
350,9159,677,255
351,9159,678,255
352,9159,679,255
353,9159,680,255
354,9159,681,255
355,9159,682,255
356,9159,683,255
357,9159,684,255
358,9159,685,255
359,9159,686,255
360,9159,687,255
361,9159,688,255
362,9159,689,255
363,9159,690,255
364,9159,691,255
365,9159,692,255
366,9159,693,255
367,9159,694,255
368,9159,695,255
369,9159,696,255
370,9159,697,255
371,9159,698,255
372,9159,699,255
373,9159,700,255
374,9159,701,255
375,9159,702,255
376,9159,703,255
377,9159,704,255
378,9159,705,255
379,9159,706,255
380,9159,707,255
381,9159,708,255
382,9159,709,255
383,9159,710,255
384,9159,711,255
385,9159,712,255
386,9159,713,255
387,9159,714,255
388,9159,715,255
389,9159,716,255
390,9159,717,255
391,9159,718,255
392,9159,719,255
393,9159,720,255
394,9159,721,255
395,9159,722,255
396,9159,723,255
397,9159,724,255
398,9159,725,255
399,9159,726,255
400,9159,727,255
401,9159,728,255
402,9159,729,255
403,9159,730,255
404,9159,731,255
405,9159,732,255
406,9159,733,255
407,9159,734,255
408,9159,735,255
409,9159,736,255
410,9159,737,255
411,9159,738,255
412,9159,739,255
413,9159,740,255
414,9159,741,255
415,9159,742,255
416,9159,743,255
417,9159,744,255
418,9159,745,255
419,9159,746,255
420,9159,747,255
421,9159,748,255
422,9159,749,255
423,9159,750,255
424,9159,751,255
425,9159,752,255
426,9159,753,255
427,9159,754,255
428,9159,755,255
429,9159,756,255
430,9159,757,255
431,9159,758,255
432,9159,759,255
433,9159,760,255
434,9159,761,255
435,9159,762,255
436,9159,763,255
437,9159,764,255
438,9159,765,255
439,9159,766,255
440,9159,767,255
441,9159,768,255
442,9159,769,255
443,9159,770,255
444,9159,771,255
445,9159,772,255
446,9159,773,255
447,9159,774,255
448,9159,775,255
449,9159,776,255
450,9159,777,255
451,9159,778,255
452,9159,779,255
453,9159,780,255
454,9159,781,255
455,9159,782,255
456,9159,783,255
457,9159,784,255
458,9159,785,255
459,9159,786,255
460,9159,787,255
461,9159,788,255
462,9159,789,255
463,9159,790,255
464,9159,791,255
465,9159,792,255
466,9159,793,255
467,9159,794,255
468,9159,795,255
469,9159,796,255
470,9159,797,255
471,9159,798,255
472,9159,799,255
473,9159,800,255
474,9159,801,255
475,9159,802,255
476,9159,803,255
477,9159,804,255
478,9159,805,255
479,9159,806,255
480,9159,807,255
481,9159,808,255
482,9159,809,255
483,9159,810,255
484,9159,811,255
485,9159,812,255
486,9159,813,255
487,9159,814,255
488,9159,815,255
489,9159,816,255
490,9159,817,255
491,9159,818,255
492,9159,819,255
493,9159,820,255
494,9159,821,255
495,9159,822,255
496,9159,823,255
497,9159,824,255
498,9159,825,255
499,9159,826,255
500,9159,827,255
